0	0.108	0.012
1000	0.000	0.015
2000	0.138	0.003
3000	0.000	0.003
4000	0.000	0.000
5000	0.000	0.020
6000	0.000	0.000
7000	0.348	0.000
8000	0.000	0.000
9000	0.000	0.000
10000	0.000	0.000
11000	0.307	0.019
12000	0.000	0.001
13000	0.000	0.001
14000	0.163	0.003
15000	0.138	0.008
16000	0.000	0.001
17000	0.138	0.061
18000	0.138	0.003
19000	0.348	0.006
20000	0.000	0.009
21000	0.348	0.001
22000	0.138	0.028
23000	0.000	0.003
24000	0.000	0.000
25000	0.000	0.000
26000	0.000	0.000
27000	0.000	0.000
28000	0.348	0.000
29000	0.000	0.000
30000	0.138	0.000
31000	0.307	0.008
32000	0.133	0.001
33000	0.000	0.001
34000	0.000	0.003
35000	0.138	0.003
36000	0.307	0.001
37000	0.138	0.003
38000	0.000	0.003
39000	0.044	0.001
40000	0.000	0.001
41000	0.138	0.001
42000	0.348	0.029
43000	0.000	0.003
44000	0.000	0.009
45000	0.000	0.000
46000	0.000	0.000
47000	0.000	0.000
48000	0.000	0.060
49000	0.163	0.000
