0	0.116	0.011
1000	0.757	0.540
2000	0.767	0.698
3000	0.797	0.724
4000	0.806	0.733
5000	0.807	0.780
6000	0.795	0.799
7000	0.807	0.816
8000	0.812	0.823
9000	0.808	0.812
10000	0.814	0.824
11000	0.818	0.830
12000	0.818	0.828
13000	0.814	0.819
14000	0.809	0.828
15000	0.794	0.834
16000	0.811	0.826
17000	0.810	0.837
18000	0.810	0.846
19000	0.823	0.834
20000	0.783	0.834
21000	0.828	0.842
22000	0.828	0.840
23000	0.814	0.838
24000	0.813	0.843
25000	0.813	0.849
26000	0.822	0.846
27000	0.823	0.848
28000	0.826	0.848
29000	0.820	0.848
30000	0.819	0.842
31000	0.823	0.848
32000	0.826	0.842
33000	0.811	0.837
34000	0.817	0.839
35000	0.795	0.832
36000	0.827	0.850
37000	0.825	0.850
38000	0.819	0.851
39000	0.825	0.845
40000	0.803	0.845
41000	0.817	0.848
42000	0.812	0.850
43000	0.816	0.837
44000	0.823	0.843
45000	0.815	0.841
46000	0.816	0.853
47000	0.815	0.845
48000	0.811	0.847
49000	0.823	0.847
